Overview - SIM3 KPI;;;;;;
;;;;;;
Category;KPI;Alias;UoM;Day;Value;Target
Efficiency;3 / KE S2;  ;%;05 Mar 2023;70,00;63,00
Efficiency;3 / KE S2;  ;%;06 Mar 2023;68,00;63,00
Efficiency;3 / KE S2;  ;%;07 Mar 2023;28,00;63,00
Efficiency;3 / KE S2;  ;%;08 Mar 2023;66,00;63,00
Efficiency;3 / KE S2;  ;%;09 Mar 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;10 Mar 2023;65,00;63,00
Efficiency;3 / KE S2;  ;%;11 Mar 2023; ; 
Efficiency;3 / KE S2;  ;%;12 Mar 2023;65,00;63,00
Efficiency;3 / KE S2;  ;%;13 Mar 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;14 Mar 2023;62,00;63,00
Efficiency;3 / KE S2;  ;%;15 Mar 2023;65,00;63,00
Efficiency;3 / KE S2;  ;%;16 Mar 2023;66,00;63,00
Efficiency;3 / KE S2;  ;%;17 Mar 2023;65,00;63,00
Efficiency;3 / KE S2;  ;%;18 Mar 2023; ; 
Efficiency;3 / KE S2;  ;%;19 Mar 2023;65,00;63,00
Efficiency;3 / KE S2;  ;%;20 Mar 2023;58,00;63,00
Efficiency;3 / KE S2;  ;%;21 Mar 2023;56,00;63,00
Efficiency;3 / KE S2;  ;%;22 Mar 2023;54,00;63,00
Efficiency;3 / KE S2;  ;%;23 Mar 2023;54,00;63,00
Efficiency;3 / KE S2;  ;%;24 Mar 2023;68,00;63,00
Efficiency;3 / KE S2;  ;%;25 Mar 2023; ; 
Efficiency;3 / KE S2;  ;%;26 Mar 2023;69,00;63,00
Efficiency;3 / KE S2;  ;%;27 Mar 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;28 Mar 2023;67,00;63,00
Efficiency;3 / KE S2;  ;%;29 Mar 2023;67,00;63,00
Efficiency;3 / KE S2;  ;%;30 Mar 2023;66,00;63,00
Efficiency;3 / KE S2;  ;%;31 Mar 2023;61,00;63,00
Efficiency;3 / KE S2;  ;%;01 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;02 Apr 2023;61,00;63,00
Efficiency;3 / KE S2;  ;%;03 Apr 2023;62,00;63,00
Efficiency;3 / KE S2;  ;%;04 Apr 2023;61,00;63,00
Efficiency;3 / KE S2;  ;%;05 Apr 2023;59,00;63,00
Efficiency;3 / KE S2;  ;%;06 Apr 2023;59,00;63,00
Efficiency;3 / KE S2;  ;%;07 Apr 2023;67,00;63,00
Efficiency;3 / KE S2;  ;%;08 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;09 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;10 Apr 2023;67,00;63,00
Efficiency;3 / KE S2;  ;%;11 Apr 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;12 Apr 2023;68,00;63,00
Efficiency;3 / KE S2;  ;%;13 Apr 2023;59,00;63,00
Efficiency;3 / KE S2;  ;%;14 Apr 2023;50,00;63,00
Efficiency;3 / KE S2;  ;%;15 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;16 Apr 2023;50,00;63,00
Efficiency;3 / KE S2;  ;%;17 Apr 2023;65,30;63,00
Efficiency;3 / KE S2;  ;%;18 Apr 2023;60,00;63,00
Efficiency;3 / KE S2;  ;%;19 Apr 2023;59,80;63,00
Efficiency;3 / KE S2;  ;%;20 Apr 2023;58,00;63,00
Efficiency;3 / KE S2;  ;%;21 Apr 2023;54,00;63,00
Efficiency;3 / KE S2;  ;%;22 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;23 Apr 2023;54,00;63,00
Efficiency;3 / KE S2;  ;%;24 Apr 2023;43,00;63,00
Efficiency;3 / KE S2;  ;%;25 Apr 2023;60,00;63,00
Efficiency;3 / KE S2;  ;%;26 Apr 2023;49,00;63,00
Efficiency;3 / KE S2;  ;%;27 Apr 2023;60,00;63,00
Efficiency;3 / KE S2;  ;%;28 Apr 2023;50,00;63,00
Efficiency;3 / KE S2;  ;%;29 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;30 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;01 May 2023;50,00;63,00
Efficiency;3 / KE S2;  ;%;02 May 2023;66,00;63,00
Efficiency;3 / KE S2;  ;%;03 May 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;04 May 2023;63,00;63,00
Efficiency;3 / KE S2;  ;%;05 May 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;06 May 2023; ; 
Efficiency;3 / KE S2;  ;%;07 May 2023; ; 
Efficiency;3 / KE S2;  ;%;08 May 2023; ; 
