Category;KPI;Alias;UoM;Day;Value;Target
Service Level;QTE RM6 S2;  ;Number;01 Mar 2023;73,00;90,00
Service Level;QTE RM6 S2;  ;Number;02 Mar 2023;72,00;90,00
Service Level;QTE RM6 S2;  ;Number;03 Mar 2023; ; 
Service Level;QTE RM6 S2;  ;Number;04 Mar 2023; ; 
Service Level;QTE RM6 S2;  ;Number;05 Mar 2023;87,00;90,00
Service Level;QTE RM6 S2;  ;Number;06 Mar 2023;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;07 Mar 2023;46,00;90,00
Service Level;QTE RM6 S2;  ;Number;08 Mar 2023;81,00;90,00
Service Level;QTE RM6 S2;  ;Number;09 Mar 2023;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;10 Mar 2023;69,00;90,00
Service Level;QTE RM6 S2;  ;Number;11 Mar 2023; ; 
Service Level;QTE RM6 S2;  ;Number;12 Mar 2023; ; 
Service Level;QTE RM6 S2;  ;Number;13 Mar 2023;86,00;90,00
Service Level;QTE RM6 S2;  ;Number;14 Mar 2023;70,00;90,00
Service Level;QTE RM6 S2;  ;Number;15 Mar 2023;80,00;90,00
Service Level;QTE RM6 S2;  ;Number;16 Mar 2023;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;17 Mar 2023; ; 
Service Level;QTE RM6 S2;  ;Number;18 Mar 2023; ; 
Service Level;QTE RM6 S2;  ;Number;19 Mar 2023;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;20 Mar 2023;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;21 Mar 2023;75,00;90,00
Service Level;QTE RM6 S2;  ;Number;22 Mar 2023;92,00;90,00
Service Level;QTE RM6 S2;  ;Number;23 Mar 2023;84,00;90,00
Service Level;QTE RM6 S2;  ;Number;24 Mar 2023;86,00;90,00
Service Level;QTE RM6 S2;  ;Number;25 Mar 2023; ; 
Service Level;QTE RM6 S2;  ;Number;26 Mar 2023; ; 
Service Level;QTE RM6 S2;  ;Number;27 Mar 2023;70,00;90,00
Service Level;QTE RM6 S2;  ;Number;28 Mar 2023;80,00;90,00
Service Level;QTE RM6 S2;  ;Number;29 Mar 2023;89,00;90,00
Service Level;QTE RM6 S2;  ;Number;30 Mar 2023;85,00;90,00
Service Level;QTE RM6 S2;  ;Number;31 Mar 2023; ; 
Service Level;QTE RM6 S2;  ;Number;01 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;02 Apr 2023;76,00;90,00
Service Level;QTE RM6 S2;  ;Number;03 Apr 2023;82,00;90,00
Service Level;QTE RM6 S2;  ;Number;04 Apr 2023;85,00;90,00
Service Level;QTE RM6 S2;  ;Number;05 Apr 2023;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;06 Apr 2023;65,00;90,00
Service Level;QTE RM6 S2;  ;Number;07 Apr 2023;85,00;90,00
Service Level;QTE RM6 S2;  ;Number;08 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;09 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;10 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;11 Apr 2023;74,00;90,00
Service Level;QTE RM6 S2;  ;Number;12 Apr 2023;87,00;90,00
Service Level;QTE RM6 S2;  ;Number;13 Apr 2023;54,00;90,00
Service Level;QTE RM6 S2;  ;Number;14 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;15 Apr 2023; ; 
Service Level;QTE RM6 S2;  ;Number;16 Apr 2023;60,00;90,00
Service Level;QTE RM6 S2;  ;Number;17 Apr 2023;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;18 Apr 2023;84,00;90,00
Service Level;QTE RM6 S2;  ;Number;19 Apr 2023;97,00;90,00
